Constituency Name,Electorate,Conservative Votes,Conservative Vote (proportion),Labour Votes,Labour Vote (proportion),Lib Dem Votes,Lib Dem Vote (proportion),Turnout (Proportion),Binary_Con (1 = win),Median House Price (£),Ratio of median house price to median salary,Home Ownership (proportion of households),Unemployment Rate,Share of LSOAs (small areas) in most deprived decile,Number of Businesses,Number of businesses per capita,Standardised Weighted Overall Social Mobility Index,School Funding Per Pupil (Real),Are Religous (proportion),Are Not Religious (proportion),Are Christian (proportion),Are Muslim (proportion),Average Internet Speed (Mb/s),Asthma,Atrial fibrillation,Cancer diagnosis since 2003,Cardiovascular disease (primary prevention),Chronic kidney disease,COPD,Coronary heart disease,Dementia,Depression,Diabetes,Epilepsy,Heart failure,High blood pressure (hypertension),Learning disabilities,Obesity,Osteoporosis,Peripheral arterial disease,Rheumatoid arthritis,"Schizophrenia, bipolar disorder & psychoses",Stroke and transient ischaemic attack,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,"""White""","""Mixed""","""Asian""","""Black""","""Other"""
Aldershot,72617,27980,0.385309225,11282,0.155363069,6920,0.09529449,0.660065825,1,302000,8.9,0.65426048,0.015520967,0,3825,0.052673616,-24.94625196,"6,972",0.664787052,0.265362483,0.581416832,0.013818056,114.8,0.057579089,0.01989271,0.030609901,0.012002215,0.034918392,0.018407318,0.026682077,0.006852819,0.1339346,0.078472267,0.008036818,0.008007584,0.147026175,0.004241253,0.116832027,0.013875458,0.005399515,0.006284818,0.008152514,0.014895596,0.12956908,0.10903078,0.12176625,0.15190368,0.14323595,0.13993805,0.0918569,0.07232603,0.04037331,0.855333808,0.02134293,0.097736764,0.019293316,0.006293181
Aldridge-Brownhills,60138,27850,0.463101533,8014,0.133260168,2371,0.039425987,0.654195351,1,192750,6.4,0.755941669,0.025051281,0.02,2505,0.041654195,12.11134971,"6,900",0.741717983,0.197222439,0.701743446,0.007223218,95.7,0.071791195,0.028976044,0.037132006,0.011411577,0.063751962,0.023912602,0.044088585,0.010223759,0.120029202,0.084963546,0.009371979,0.015002546,0.17426211,0.005799039,0.146999464,0.015328373,0.006946473,0.011108078,0.008843855,0.022405312,0.10893231,0.10859775,0.10525233,0.11069508,0.12179932,0.15085307,0.11293393,0.11072081,0.07021539,0.931288487,0.015524723,0.040364279,0.009704576,0.003117936
Altrincham and Sale West,73107,26311,0.359897137,20172,0.27592433,6036,0.082563913,0.749080115,1,342500,8.2,0.740804727,0.015493581,0.050847458,6460,0.088363631,103.8461171,"6,822",0.728007785,0.207576275,0.652690209,0.031348676,94.7,0.071644326,0.023253718,0.038387958,0.012076168,0.046054106,0.015796414,0.031306595,0.008063359,0.131972545,0.055103767,0.007218339,0.007704706,0.133920281,0.00355765,0.085910204,0.010850948,0.006271115,0.00686933,0.007775105,0.019142704,0.12848052,0.13108027,0.08466659,0.12384798,0.14972779,0.13933874,0.10154516,0.08451021,0.05680272,0.904338914,0.021306333,0.055895477,0.009762814,0.008696462
Amber Valley,69976,29096,0.415799703,12210,0.174488396,2873,0.041056934,0.651180405,1,160000,5.5,0.724682122,0.026734835,0.052631579,2960,0.042300217,-37.11118115,"6,737",0.611130708,0.317160315,0.600161578,0.001615785,56.3,0.072241621,0.025118343,0.036422858,0.011185763,0.058563126,0.025985695,0.039669074,0.009481818,0.143248742,0.075957425,0.008857981,0.012601244,0.16123062,0.00775206,0.135274084,0.00598883,0.00955112,0.008722586,0.008751697,0.022403458,0.10650088,0.10094828,0.11444872,0.12041502,0.12667532,0.1502357,0.12431274,0.10409476,0.05236856,0.983887669,0.006599684,0.006702093,0.002002663,0.000807892
Arundel and South Downs,81726,35566,0.435185865,9722,0.118958471,13045,0.159618726,0.751388787,1,391000,12.4,0.759701493,0.012505995,0,6120,0.07488437,-54.87171533,"6,691",0.670021693,0.250372685,0.654836687,0.003053451,52.9,0.06840713,0.031896562,0.046187935,0.013998814,0.046056461,0.01710867,0.038592829,0.010231494,0.101567199,0.067627371,0.006303831,0.008465166,0.166625225,0.003841713,0.075420507,0.006896286,0.00539973,0.008290925,0.007148769,0.02315199,0.09961051,0.10790894,0.07192626,0.08802404,0.1230673,0.15746468,0.14080911,0.13169845,0.07949076,0.977484656,0.009993112,0.00934541,0.002148725,0.001028098
Ashfield,78204,19231,0.245908138,11971,0.153074012,1105,0.014129712,0.626310675,1,138000,5.2,0.690888147,0.030492632,0.15625,2585,0.033054575,-30.71502985,"6,599",0.594246129,0.337578743,0.582069196,0.002982907,102.9,0.06774386,0.022321024,0.035432849,0.011193101,0.057088766,0.026683111,0.040646199,0.010230609,0.139598319,0.086458524,0.010597067,0.013434734,0.159770514,0.007538429,0.154264559,0.010387315,0.006869046,0.008648546,0.007901862,0.021508453,0.11788228,0.11009848,0.11434842,0.12367596,0.12338767,0.14733426,0.11703603,0.09643731,0.04979959,0.979571011,0.008036187,0.008291304,0.002845536,0.001255961
Ashford,89553,37270,0.416178129,13241,0.147856577,6048,0.067535426,0.670653133,1,280000,9.1,0.678441139,0.02747678,0.013333333,5985,0.066831932,11.88146261,"6,423",0.65991677,0.26380379,0.627279972,0.008933947,80.5,0.062290826,0.024888303,0.033508238,0.013211518,0.044028201,0.018266891,0.028971479,0.007109272,0.143825675,0.065977148,0.008764785,0.006857315,0.148961032,0.004518662,0.092505085,0.009681043,0.005405384,0.008559469,0.0073063,0.017606509,0.12949622,0.12244506,0.1064335,0.12128991,0.13117277,0.1440077,0.10383442,0.09175358,0.04956682,0.934956614,0.014459005,0.035071719,0.012086063,0.003426598
Ashton-Under-Lyne,67978,14281,0.210082674,18544,0.272794139,1395,0.020521345,0.567521845,0,140000,5.5,0.623715577,0.044019777,0.206896552,2505,0.036850157,-30.52965586,"6,342",0.742473808,0.201273153,0.650424384,0.059358561,91.8,0.068574871,0.017229058,0.026919642,0.012251198,0.029142681,0.028817259,0.03515241,0.007852337,0.159185077,0.084057636,0.00962019,0.007956724,0.15015864,0.005815163,0.10354079,0.005339095,0.008679083,0.008029987,0.009331237,0.017919417,0.13066311,0.11420321,0.12787165,0.13652406,0.12119786,0.14219251,0.1026631,0.08142246,0.04326202,0.873513549,0.016964325,0.095608063,0.011361125,0.002552938
Aylesbury,86665,32737,0.37774188,15364,0.177280332,10081,0.116321468,0.698967288,1,315000,10.2,0.695131869,0.016112942,0,4905,0.056597242,30.66555603,"6,289",0.670998917,0.258888981,0.591231822,0.057504142,103.6,0.069844059,0.020806427,0.029025238,0.011923,0.026113798,0.015003457,0.029133469,0.007620532,0.127811276,0.065300462,0.007635967,0.007223673,0.131225592,0.004658198,0.082785377,0.005294837,0.005296636,0.007493487,0.008736752,0.015484409,0.13960151,0.115459,0.11500529,0.15226579,0.13982441,0.1338624,0.09079113,0.07011916,0.04307126,0.857942922,0.027363529,0.083932721,0.025549168,0.00521166
Banbury,90116,34148,0.378933819,17335,0.192363176,8831,0.097995916,0.698222291,1,303995,9.3,0.677487245,0.014394104,0,5790,0.064250522,11.00171911,"6,285",0.674004477,0.257445221,0.634590598,0.02342955,75.6,0.064071768,0.019469044,0.036687903,0.0133351,0.031521359,0.015092822,0.025599377,0.006660273,0.134665019,0.056877879,0.007943554,0.007709535,0.127256863,0.004196628,0.115017635,0.016143016,0.005257558,0.00810213,0.007678871,0.017159522,0.12989179,0.11772037,0.10257162,0.14211875,0.13717241,0.14207113,0.1013807,0.080706,0.04636724,0.924165593,0.017731158,0.041525337,0.013516722,0.00306119
Barking,77953,11792,0.151270637,27219,0.349171937,1482,0.019011456,0.57084397,0,310000,9.8,0.429535996,0.040225931,0.027777778,4850,0.062216977,12.44141042,"6,249",0.754302486,0.181959399,0.534546614,0.166638052,108.7,0.048217859,0.008254208,0.016027978,0.010885179,0.022860256,0.014347925,0.017171488,0.003721882,0.079053256,0.086864312,0.005877658,0.004379315,0.111729059,0.004651103,0.127680441,0.005440643,0.002750248,0.007092706,0.008455031,0.009209869,0.18408949,0.14405466,0.13660745,0.17178144,0.14066055,0.10470711,0.06185917,0.03399066,0.02224947,0.550039652,0.044083622,0.186292545,0.202235249,0.017348933
Barnsley Central,65277,7892,0.120900164,14804,0.226787383,1176,0.018015534,0.565329289,0,140000,5.5,0.629690264,0.032828847,0.20754717,2580,0.039523875,-36.02657641,"6,210",0.690120634,0.243822479,0.676528922,0.006638355,91.6,0.062890033,0.021126914,0.030317578,0.009345349,0.038293361,0.030613845,0.043744137,0.008214548,0.12451264,0.076099511,0.009245852,0.010804918,0.149458974,0.006307464,0.168267768,0.002441972,0.010918408,0.007554825,0.008044128,0.021790005,0.11614254,0.10482452,0.12686375,0.13912581,0.1226751,0.14515919,0.11207326,0.08647481,0.04666103,0.97311991,0.007093357,0.0098817,0.007198357,0.002706676
